,,,,,,,,,,,,,,,,,,
Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,,,,,,,,,,
Fiscal Year 2022 (Q1-Q4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,
Beneficiary Country of Birth,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total," 10,481 "," 4,322 "," 11,173 "," 62,499 "," 21,973 "," 19,946 "," 25,129 "," 9,777 "," 165,300 ",,,,,,,,,
ARMENIA, 45 , 2 , 7 , 22 , 21 , 7 , 15 , 6 , 125 ,,,,,,,,,
PORTUGAL, 10 , 5 , 27 , 29 , 26 , 15 , 7 , 6 , 125 ,,,,,,,,,
SWEDEN, 16 , 7 , 30 , 23 , 17 , 13 , 17 , 1 , 124 ,,,,,,,,,
MONGOLIA, 4 , -   , 1 , 14 , 24 , 10 , 31 , 35 , 119 ,,,,,,,,,
NEW ZEALAND, 15 , 1 , 30 , 16 , 11 , 23 , 14 , 2 , 112 ,,,,,,,,,
BULGARIA, 10 , 5 , 7 , 30 , 15 , 7 , 22 , 12 , 108 ,,,,,,,,,
SYRIA, 6 , 2 , 6 , 29 , 28 , 17 , 17 , 3 , 108 ,,,,,,,,,
SWITZERLAND, 15 , 9 , 19 , 29 , 15 , 8 , 8 , 4 , 107 ,,,,,,,,,
ALBANIA, 5 , 1 , 4 , 8 , 8 , 13 , 21 , 43 , 103 ,,,,,,,,,
CAMEROON, 6 , 1 , 1 , 13 , 32 , 23 , 7 , 15 , 98 ,,,,,,,,,
KUWAIT, 6 , 2 , 4 , 24 , 23 , 18 , 16 , 1 , 94 ,,,,,,,,,
IRAQ, 2 , 1 , 1 , 14 , 47 , 1 , 7 , 19 , 92 ,,,,,,,,,
LIBYA, 3 , 1 , -   , 20 , 46 , 14 , 5 , 3 , 92 ,,,,,,,,,
"BAHAMAS, THE", 3 , -   , 1 , 11 , 7 , 56 , 12 , -   , 90 ,,,,,,,,,
SERBIA, 6 , 1 , 11 , 12 , 22 , 8 , 11 , 18 , 89 ,,,,,,,,,
AUSTRIA, 12 , 8 , 21 , 15 , 16 , 7 , 5 , 3 , 87 ,,,,,,,,,
DENMARK, 16 , 3 , 23 , 15 , 16 , 10 , 2 , -   , 85 ,,,,,,,,,
HAITI, 3 , 1 , 3 , 8 , 14 , 33 , 11 , 12 , 85 ,,,,,,,,,
BOLIVIA, 4 , -   , 8 , 14 , 27 , 3 , 10 , 12 , 78 ,,,,,,,,,
UGANDA, 3 , 1 , -   , 13 , 25 , 28 , 6 , 1 , 77 ,,,,,,,,,
URUGUAY, 7 , -   , 11 , 12 , 14 , 10 , 13 , 3 , 70 ,,,,,,,,,
NICARAGUA, 1 , -   , 20 , 5 , 11 , 5 , 4 , 15 , 61 ,,,,,,,,,
AZERBAIJAN, 11 , 1 , 2 , 14 , 17 , 2 , 8 , 3 , 58 ,,,,,,,,,
FINLAND, 10 , 2 , 14 , 14 , 5 , 10 , 3 , -   , 58 ,,,,,,,,,
CZECHIA, 4 , 2 , 13 , 10 , 10 , 9 , 5 , 4 , 57 ,,,,,,,,,
TUNISIA, 5 , 1 , 3 , 20 , 15 , 2 , 3 , 8 , 57 ,,,,,,,,,
PANAMA, 4 , 1 , 2 , 11 , 13 , 2 , 12 , 10 , 55 ,,,,,,,,,
KYRGYZSTAN, 4 , -   , -   , 2 , 31 , 2 , 6 , 7 , 52 ,,,,,,,,,
ZAMBIA, 1 , -   , 4 , 12 , 5 , 19 , 4 , 7 , 52 ,,,,,,,,,
CAMBODIA, -   , 1 , -   , 3 , 1 , 1 , 5 , 40 , 51 ,,,,,,,,,
