,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiscal Year 2021, Quarter 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,4th Quarter,,,,,,Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms Received,Completed,,,Pending,Processing Time,Forms Received,Completed,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Approved,Denied,Total 15,,,,Approved,Denied,Total 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,," 2,343,364 "," 1,905,587 "," 251,700 "," 2,176,453 "," 8,037,262 ", N/A ," 8,839,722 "," 6,138,783 "," 808,323 "," 7,010,652 "," 8,037,262 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Immigrant Visa and EOIR Adjustment are not included in the ""Total - All Forms"" line. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Total Completions on the 'Total - All Forms' line are approvals plus denials with two exceptions. The N-648 line does not break down Approvals and Denials, only Completions. The I-589 line includes administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Some applications or petitions approved or denied may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
