,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for All Countries",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,
"CLAIMS3, queried 05/2022, TRK 9399",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for China",,,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,,
Fiscal Years 2012 to 2022 (Q1-Q2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,                Fiscal Year Received ,,,,,,,,,,
Petitions by Employment Preference,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,,
TOTAL," 7,587 "," 7,636 "," 12,613 "," 11,600 "," 16,981 "," 17,495 "," 18,695 "," 20,488 "," 20,040 "," 24,694 "," 10,573 "," 168,402 ",,
,,,,,,,,,,,,,,
Approved," 6,962 "," 6,985 "," 11,717 "," 10,692 "," 15,345 "," 15,695 "," 16,798 "," 18,233 "," 18,163 "," 20,553 "," 7,124 "," 148,267 ",,
Denied, 564 , 571 , 741 , 648 , 962 ," 1,400 "," 1,723 "," 2,035 "," 1,590 ", 830 , 305 ," 11,369 ",,
"Pending, Other1", 61 , 80 , 155 , 260 , 674 , 400 , 174 , 220 , 287 ," 3,311 "," 3,144 "," 8,766 ",,
,,,,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,,,,
Total Petitions," 3,133 "," 3,715 "," 4,435 "," 4,864 "," 5,329 "," 6,121 "," 5,980 "," 5,618 "," 4,393 "," 4,413 "," 2,552 "," 50,553 ",,
Approved," 2,706 "," 3,250 "," 3,820 "," 4,302 "," 4,613 "," 4,965 "," 4,540 "," 3,737 "," 2,947 "," 2,785 "," 1,346 "," 39,011 ",,
Denied, 408 , 422 , 533 , 468 , 613 ," 1,101 "," 1,406 "," 1,740 "," 1,250 ", 608 , 266 ," 8,815 ",,
"Pending, Other1", 19 , 43 , 82 , 94 , 103 , 55 , 34 , 141 , 196 ," 1,020 ", 940 ," 2,727 ",,
,,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11)," 1,130 "," 1,416 "," 1,789 "," 2,081 "," 2,365 "," 2,720 "," 2,388 "," 1,741 "," 1,270 "," 1,301 ", 699 ," 18,900 ",,
Outstanding Professors or Researchers (E12)," 1,229 "," 1,354 "," 1,403 "," 1,486 "," 1,315 "," 1,337 "," 1,316 "," 1,172 "," 1,025 "," 1,227 ", 609 ," 13,473 ",,
Multinational Executives or Managers (E13), 347 , 480 , 628 , 735 , 933 , 908 , 836 , 824 , 652 , 257 , 38 ," 6,638 ",,
,,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,,
Total Petitions," 4,078 "," 3,502 "," 4,121 "," 5,203 "," 7,626 "," 6,465 "," 8,259 "," 10,877 "," 10,911 "," 9,890 "," 5,702 "," 76,634 ",,
Approved," 3,901 "," 3,356 "," 3,965 "," 5,055 "," 7,387 "," 6,251 "," 8,005 "," 10,608 "," 10,572 "," 8,634 "," 3,967 "," 71,701 ",,
Denied, 136 , 113 , 129 , 111 , 155 , 178 , 210 , 230 , 262 , 122 , 28 ," 1,674 ",,
