file_hash_sha256,sheet_index,sheet_name,max_row,max_column,detected_table_type,detection_confidence
dda9c76eb995224c1d54892a16871a7ebd95056d308853518317c7aab3103bf4,4,App-COB,195,10,fy_quarter_status,0.9500
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,0,RADP Summary,35,21,fy_quarter_status,0.9500
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,1,Rec-State,74,10,fy_quarter_status,0.9500
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,2,Rec-COB,204,10,fy_quarter_status,0.9500
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,3,App-State,77,10,fy_quarter_status,0.9500
ddf1d36b0dd6a8dd1bfb516a83481b7767dc2e3c5cb3800ec66106fc04999a50,4,App-COB,197,10,fy_quarter_status,0.9500
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,0,RADP Summary,35,21,fy_quarter_status,0.9500
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,1,Rec-State,76,10,fy_quarter_status,0.9500
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,2,Rec-COB,192,10,fy_quarter_status,0.9500
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,3,App-State,77,10,fy_quarter_status,0.9500
d440c6ebf2c7c6172fb2b456c29cc5d1e0fadefc4346d7748c9bfc3bb9e43e30,4,App-COB,186,10,fy_quarter_status,0.9500
7a1803a4a4ca18d0b0a90e0e2ea8cb232b13ab1e6b04c82aca2072b591ead1eb,0,CSV,217,19,country_category,0.8500
c0c830145699b12d634106a7c280f162348f2a185f0f2894d59a62ef5ad05db4,0,CSV,38,21,fy_quarter_status,0.8500
76e601d1ca8f7a8bb7547a06a882b30dc592bf6bcc915b42cf24dd7cb892a81b,0,CSV,215,19,country_category,0.8500
03156389d25fde1abf59a8883e1f351cffb131e08b878ca4a1b11802468a78aa,0,CSV,220,19,country_category,0.8500
1a9fb4717206fd73d96c878ee6346426734572fba2fee0e5db21875ebf2a6671,0,CSV,39,21,fy_quarter_status,0.8500
e49dfbb4891fc2eddf09d73b19bfe339b745db016e107968d029e99c4a00da9e,0,CSV,216,19,country_category,0.8500
e9da7c358355e7fc6842a95137044abd167f66c46c4419a1997fc5d2785f39f4,0,CSV,33,21,fy_quarter_status,0.8500
0ef20b670be8bccabefd90de48b3ad6ba7b978d95ec3e60abcb4f532a204c1b2,0,CSV,202,10,country_category,0.8500
