source_file_id,category_id,category_code,country_id,country_code,country_name,cohort_fiscal_year,cohort_quarter,snapshot_date,received,approved,denied,pending,approval_rate_received_basis,approval_rate_decided_basis,pending_share
18,4,E12,5,BRAZIL,Brazil,2017,,2024-12-31,0,41,0,0,,1.00000000000000000000,
55,12,EW3,1,ALL,All Countries,2012,,2022-03-31,0,357,0,0,,1.00000000000000000000,
16,9,EB3,38,NIGERIA,Nigeria,2016,,2024-09-30,144,122,18,4,0.84722222222222222222,0.87142857142857142857,0.02777777777777777778
1555,2,EB1,7,VIETNAM,Vietnam,2016,,2025-12-31,46,33,12,1,0.71739130434782608696,0.73333333333333333333,0.02173913043478260870
18,3,E11,6,PHILIPPINES,Philippines,2018,,2024-12-31,0,16,0,0,,1.00000000000000000000,
173,13,OTHER_UNKNOWN,1,ALL,All Countries,2010,,2020-03-31,0,169,32,21,,0.84079601990049751244,
21,9,EB3,1,ALL,All Countries,2025,,2025-06-30,54002,21474,294,32234,0.39765193881708084886,0.98649393605292171996,0.59690381837709714455
2,5,E13,6,PHILIPPINES,Philippines,2022,,2025-09-30,0,61,0,0,,1.00000000000000000000,
18,1,TOTAL,1,ALL,All Countries,2023,,2024-12-31,189030,169699,15198,4133,0.89773580913082579485,0.91780288484940264039,0.02186425435116119135
18,1,TOTAL,6,PHILIPPINES,Philippines,2024,,2024-12-31,18346,9442,113,8791,0.51466259675133544097,0.98817373103087388802,0.47917802245721138123
21,7,E21,5,BRAZIL,Brazil,2014,,2025-06-30,0,281,0,0,,1.00000000000000000000,
55,11,E32,4,CHINA,China,2015,,2022-03-31,0,1071,0,0,,1.00000000000000000000,
101,10,E31,4,CHINA,China,2022,,2022-12-31,0,355,0,0,,1.00000000000000000000,
1555,6,EB2,6,PHILIPPINES,Philippines,2025,,2025-12-31,474,258,50,166,0.54430379746835443038,0.83766233766233766234,0.35021097046413502110
1555,9,EB3,5,BRAZIL,Brazil,2019,,2025-12-31,1208,1120,84,4,0.92715231788079470199,0.93023255813953488372,0.00331125827814569536
172,12,EW3,126,CHINESE_NATIONALS,Chinese Nationals,2011,,2019-09-30,0,15,0,0,,1.00000000000000000000,
21,6,EB2,6,PHILIPPINES,Philippines,2014,,2025-06-30,1403,1177,213,13,0.83891660727013542409,0.84676258992805755396,0.00926585887384176764
10,3,E11,38,NIGERIA,Nigeria,2014,,2023-12-31,0,13,0,0,,1.00000000000000000000,
12,4,E12,30,PHILIPPINES_FY24,Philippines_FY24,2023,,2024-03-31,0,4,0,0,,1.00000000000000000000,
1555,13,OTHER_UNKNOWN,1,ALL,All Countries,2017,,2025-12-31,0,9,2,5,,0.81818181818181818182,
58,6,EB2,1,ALL,All Countries,2015,,2022-09-30,58198,55014,3171,13,0.94529021615863088079,0.94550141789120907450,0.00022337537372418296
1555,13,OTHER_UNKNOWN,7,VIETNAM,Vietnam,2015,,2025-12-31,0,0,0,0,,,
12,11,E32,28,BRAZIL_FY24,Brazil_FY24,2022,,2024-03-31,0,369,0,0,,1.00000000000000000000,
20,4,E12,6,PHILIPPINES,Philippines,2024,,2025-03-31,0,7,0,0,,1.00000000000000000000,
14,6,EB2,32,INDIA_FY24,India_FY24,2018,,2024-06-30,41202,39073,2060,69,0.94832775108004465803,0.94991855687647387742,0.00167467598660259211
104,11,E32,1,ALL,All Countries,2020,,2023-09-30,0,17588,0,0,,1.00000000000000000000,
14,9,EB3,37,CHINA_FY24,China_FY24,2021,,2024-06-30,10397,10219,155,23,0.98287967682985476580,0.98505880084827453249,0.00221217658940078869
101,12,EW3,78,MEXICO,Mexico,2021,,2022-12-31,0,1941,0,0,,1.00000000000000000000,
101,5,E13,71,SOUTH_KOREA,South Korea,2015,,2022-12-31,0,331,0,0,,1.00000000000000000000,
10,6,EB2,3,INDIA,India,2016,,2023-12-31,50808,47523,3186,99,0.93534482758620689655,0.93717091640537182749,0.00194851204534718942
272,12,EW3,3,INDIA,India,2012,,2020-09-30,0,8,0,0,,1.00000000000000000000,
12,4,E12,31,NIGERIA_FY24,Nigeria_FY24,2018,,2024-03-31,0,3,0,0,,1.00000000000000000000,
258,8,NIW,5,BRAZIL,Brazil,2022,3,2022-06-30,2522,0,0,0,0.00000000000000000000,,0.00000000000000000000
55,13,OTHER_UNKNOWN,6,PHILIPPINES,Philippines,2020,,2022-03-31,0,0,0,0,,,
101,2,EB1,78,MEXICO,Mexico,2022,,2022-12-31,526,425,28,73,0.80798479087452471483,0.93818984547461368653,0.13878326996197718631
263,3,E11,5,BRAZIL,Brazil,2023,1,2022-12-31,130,0,0,0,0.00000000000000000000,,0.00000000000000000000
12,10,E31,28,BRAZIL_FY24,Brazil_FY24,2019,,2024-03-31,0,340,0,0,,1.00000000000000000000,
272,2,EB1,6,PHILIPPINES,Philippines,2020,,2020-09-30,93,49,4,40,0.52688172043010752688,0.92452830188679245283,0.43010752688172043011
273,2,EB1,5,BRAZIL,Brazil,2014,,2021-03-31,505,430,63,12,0.85148514851485148515,0.87221095334685598377,0.02376237623762376238
58,2,EB1,78,MEXICO,Mexico,2015,,2022-09-30,779,642,132,5,0.82413350449293966624,0.82945736434108527132,0.00641848523748395379
54,1,TOTAL,4,CHINA,China,2015,,2021-09-30,11600,10709,624,267,0.92318965517241379310,0.94493955704579546457,0.02301724137931034483
2,6,EB2,7,VIETNAM,Vietnam,2024,,2025-09-30,611,380,36,195,0.62193126022913256956,0.91346153846153846154,0.31914893617021276596
273,1,TOTAL,4,CHINA,China,2015,,2021-03-31,11600,10731,620,249,0.92508620689655172414,0.94537926173905382786,0.02146551724137931034
102,11,E32,1,ALL,All Countries,2020,,2023-03-31,0,17654,0,0,,1.00000000000000000000,
267,2,EB1,1,ALL,All Countries,2023,1,2023-06-30,9092,7857,1238,12037,0.86416630004399472063,0.86388125343595382078,1.3239111306643203
55,3,E11,1,ALL,All Countries,2012,,2022-03-31,0,3486,0,0,,1.00000000000000000000,
273,2,EB1,1,ALL,All Countries,2021,,2021-03-31,11691,3365,458,7868,0.28782824394833632709,0.88019879675647397332,0.67299632195706098708
54,3,E11,3,INDIA,India,2015,,2021-09-30,0,942,0,0,,1.00000000000000000000,
104,11,E32,1,ALL,All Countries,2015,,2023-09-30,0,8457,0,0,,1.00000000000000000000,
10,13,OTHER_UNKNOWN,3,INDIA,India,2024,,2023-12-31,0,0,0,0,,,
58,6,EB2,3,INDIA,India,2020,,2022-09-30,36415,35541,854,20,0.97599890155155842373,0.97653523835691715895,0.00054922422078813676
20,10,E31,1,ALL,All Countries,2014,,2025-03-31,0,3762,0,0,,1.00000000000000000000,
10,6,EB2,5,BRAZIL,Brazil,2020,,2023-12-31,2308,1601,684,23,0.69367417677642980936,0.70065645514223194748,0.00996533795493934142
18,2,EB1,3,INDIA,India,2019,,2024-12-31,7883,6880,994,9,0.87276417607509831283,0.87376174752349504699,0.00114169732335405303
101,1,TOTAL,4,CHINA,China,2017,,2022-12-31,17493,15658,1460,375,0.89510089750185788601,0.91470966234373174436,0.02143714628708626308
14,12,EW3,31,NIGERIA_FY24,Nigeria_FY24,2020,,2024-06-30,0,20,0,0,,1.00000000000000000000,
16,13,OTHER_UNKNOWN,5,BRAZIL,Brazil,2015,,2024-09-30,0,0,0,0,,,
21,4,E12,4,CHINA,China,2020,,2025-06-30,0,1018,0,0,,1.00000000000000000000,
173,6,EB2,6,PHILIPPINES,Philippines,2015,,2020-03-31,1117,949,158,10,0.84959713518352730528,0.85727190605239385727,0.00895255147717099373
20,13,OTHER_UNKNOWN,3,INDIA,India,2020,,2025-03-31,0,0,0,0,,,
259,8,NIW,38,NIGERIA,Nigeria,2022,4,2022-09-30,0,390,0,0,,1.00000000000000000000,
10,1,TOTAL,4,CHINA,China,2017,,2023-12-31,17493,15633,1545,315,0.89367175441605213514,0.91005937827453719874,0.01800720288115246098
1555,13,OTHER_UNKNOWN,4,CHINA,China,2022,,2025-12-31,0,0,0,0,,,
279,1,TOTAL,1,ALL,All Countries,2023,,2023-03-31,137731,107531,4821,25379,0.78073200659256086139,0.95709021646254628311,0.18426498028766218208
18,12,EW3,4,CHINA,China,2016,,2024-12-31,0,358,0,0,,1.00000000000000000000,
20,11,E32,6,PHILIPPINES,Philippines,2016,,2025-03-31,0,791,0,0,,1.00000000000000000000,
1555,13,OTHER_UNKNOWN,1,ALL,All Countries,2024,,2025-12-31,0,7,0,7,,1.00000000000000000000,
11,6,EB2,1,ALL,All Countries,2024,,2024-03-31,56439,38816,6019,40802,0.68775137759350803522,0.86575220252035240326,0.72293981112351388224
16,7,E21,1,ALL,All Countries,2018,,2024-09-30,0,65878,0,0,,1.00000000000000000000,
18,3,E11,4,CHINA,China,2017,,2024-12-31,0,2703,0,0,,1.00000000000000000000,
12,7,E21,35,ALL_COUNTRIES_FY24,All_Countries_FY24,2020,,2024-03-31,0,63747,0,0,,1.00000000000000000000,
12,5,E13,32,INDIA_FY24,India_FY24,2017,,2024-03-31,0,5971,0,0,,1.00000000000000000000,
1,5,E13,1,ALL,All Countries,2025,,2025-09-30,16134,10940,329,11285,0.67807115408454196108,0.97080486289821634573,0.69945456799305813809
14,10,E31,35,ALL_COUNTRIES_FY24,All_Countries_FY24,2017,,2024-06-30,0,11928,0,0,,1.00000000000000000000,
21,3,E11,1,ALL,All Countries,2017,,2025-06-30,0,8447,0,0,,1.00000000000000000000,
101,13,OTHER_UNKNOWN,6,PHILIPPINES,Philippines,2014,,2022-12-31,0,0,0,0,,,
14,5,E13,28,BRAZIL_FY24,Brazil_FY24,2019,,2024-06-30,0,620,0,0,,1.00000000000000000000,
58,2,EB1,71,SOUTH_KOREA,South Korea,2016,,2022-09-30,744,644,100,0,0.86559139784946236559,0.86559139784946236559,0.00000000000000000000
21,6,EB2,3,INDIA,India,2022,,2025-06-30,46589,45299,1262,28,0.97231106055077378780,0.97289577113893601942,0.00060100023610723561
58,12,EW3,78,MEXICO,Mexico,2020,,2022-09-30,0,1224,0,0,,1.00000000000000000000,
55,2,EB1,4,CHINA,China,2013,,2022-03-31,3715,3250,422,43,0.87483176312247644684,0.88507625272331154684,0.01157469717362045760
1555,2,EB1,7,VIETNAM,Vietnam,2022,,2025-12-31,44,39,5,0,0.88636363636363636364,0.88636363636363636364,0.00000000000000000000
