fiscal_year,snapshot_type,is_actual,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_family,source_report_fiscal_year,source_report_quarter,source_file_names,decided,approval_decided,denial_decided,approval_received,denial_received
2020,historic,f,TOTAL,Total,129528,118736,10009,783,0.916682107343586,0.0772728676425174,0.9222571750359236,0.0777428249640762,0.0060450250138966,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,128745,0.9222571750359237,0.07774282496407628,0.9166821073435859,0.07727286764251745
2021,historic,f,EB1,First Preference,22020,18475,3425,120,0.8390099909173478,0.1555404178019981,0.843607305936073,0.1563926940639269,0.0054495912806539,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,21900,0.843607305936073,0.15639269406392695,0.8390099909173478,0.15554041780199818
2021,historic,f,EB2,Second Preference,70599,65981,4165,453,0.9345883086162692,0.0589951699032564,0.9406238417015939,0.0593761582984061,0.0064165214804742,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,70146,0.9406238417015939,0.05937615829840618,0.9345883086162694,0.05899516990325642
2021,historic,f,TOTAL,Total,178796,167565,10073,1158,0.937185395646435,0.056337949394841,0.9432947905290534,0.0567052094709465,0.0064766549587239,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,177638,0.9432947905290535,0.05670520947094653,0.937185395646435,0.05633794939484105
2022,historic,f,EB1,First Preference,25953,21766,3941,246,0.8386699032867105,0.1518514237275074,0.846695452600459,0.1533045473995409,0.0094786729857819,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,25707,0.846695452600459,0.15330454739954097,0.8386699032867105,0.15185142372750743
2022,historic,f,EB2,Second Preference,84473,78179,5828,466,0.925490985285239,0.0689924591289524,0.9306248288833072,0.0693751711166926,0.0055165555858084,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,84007,0.9306248288833073,0.06937517111669265,0.9254909852852391,0.06899245912895245
2022,historic,f,TOTAL,Total,165282,152611,11645,1026,0.9233370844980094,0.0704553429895572,0.9291045684784726,0.0708954315215273,0.0062075725124332,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,164256,0.9291045684784727,0.07089543152152737,0.9233370844980094,0.07045534298955725
2023,historic,f,EB1,First Preference,37496,30913,5277,1306,0.8244346063580115,0.140735011734585,0.8541862392926222,0.1458137607073777,0.0348303819074034,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,36190,0.8541862392926223,0.14581376070737773,0.8244346063580115,0.14073501173458502
2023,historic,f,EB2,Second Preference,93143,81416,10040,1687,0.8740968188699098,0.1077912457189482,0.890220433869839,0.1097795661301609,0.018111935411142,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,91456,0.8902204338698391,0.10977956613016095,0.8740968188699098,0.10779124571894828
2023,historic,f,TOTAL,Total,189455,169309,16621,3525,0.8936634029188989,0.0877305956559605,0.910606142096488,0.089393857903512,0.0186060014251405,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,185930,0.9106061420964879,0.08939385790351208,0.8936634029188989,0.08773059565596052
2024,historic,f,EB1,First Preference,41394,28752,5027,7615,0.6945934193361356,0.1214427211673189,0.8511797270493501,0.1488202729506498,0.1839638594965453,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,33779,0.8511797270493502,0.1488202729506498,0.6945934193361357,0.12144272116731894
2024,historic,f,EB2,Second Preference,114023,76831,15362,21830,0.6738201941713513,0.134727204160564,0.8333712971700671,0.1666287028299328,0.1914526016680845,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,92193,0.8333712971700672,0.16662870282993286,0.6738201941713514,0.1347272041605641
2024,historic,f,TOTAL,Total,228623,165310,21548,41765,0.723068107758187,0.0942512345652012,0.8846824861659655,0.1153175138340344,0.1826806576766117,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,186858,0.8846824861659656,0.1153175138340344,0.7230681077581871,0.09425123456520122
2025,historic,f,EB1,First Preference,51373,25048,8103,18222,0.4875712923130827,0.1577287680298989,0.7555729842237036,0.2444270157762963,0.3546999396570182,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,33151,0.7555729842237037,0.24442701577629633,0.48757129231308277,0.15772876802989896
2025,historic,f,EB2,Second Preference,116189,59068,10648,46473,0.5083785900558572,0.0916437872776252,0.8472660508348155,0.1527339491651844,0.3999776226665174,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,69716,0.8472660508348155,0.15273394916518446,0.5083785900558573,0.09164378727762525
2025,historic,f,TOTAL,Total,244871,135319,19568,89984,0.552613416860306,0.0799114635869498,0.8736627347679276,0.1263372652320724,0.367475119552744,preference_country,2026,1,i140_rec_by_class_country_fy2026_q1_v1.xlsx,154887,0.8736627347679276,0.12633726523207242,0.5526134168603061,0.07991146358694987
2026,actual,t,EB1,First Preference,13040,5961,2562,39463,0.4571319018404907,0.1964723926380368,0.6994016191481872,0.3005983808518127,3.026303680981595,fy_quarter_status,2026,1,i140_fy2026_q1_v1.xlsx,8523,0.6994016191481872,0.30059838085181273,0.4571319018404908,0.1964723926380368
2026,actual,t,EB2,Second Preference,24765,18246,3458,88234,0.7367655966081162,0.1396325459317585,0.8406745300405455,0.1593254699594544,3.5628507974964667,fy_quarter_status,2026,1,i140_fy2026_q1_v1.xlsx,21704,0.8406745300405455,0.15932546995945449,0.7367655966081162,0.13963254593175853
2026,actual,t,TOTAL,Total,59148,47922,6453,186875,0.8102049097179955,0.1090992087644552,0.8813241379310344,0.1186758620689655,3.159447487658078,fy_quarter_status,2026,1,i140_fy2026_q1_v1.xlsx,54375,0.8813241379310345,0.11867586206896552,0.8102049097179955,0.10909920876445527
