fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2023,1,NIW,National Interest Waiver,8807,7610,1348,18816,0.8640853866242761,0.1530600658567048,0.8495199821388703,0.1504800178611297,2.1364823435903255,4,i140_fy23_q4_radp.csv,2023Q1,2023 Q1,8958,0.8495199821388703,0.15048001786112972,0.8640853866242761,0.1530600658567049
2023,1,TOTAL,Total,40163,42811,4088,47902,1.0659313298309387,0.1017852252072803,0.9128339623446128,0.0871660376553871,1.1926897891093793,4,i140_fy23_q4_radp.csv,2023Q1,2023 Q1,46899,0.9128339623446129,0.08716603765538711,1.065931329830939,0.10178522520728034
2023,2,E11,Aliens with Extraordinary Ability,3569,2400,1045,6588,0.672457270944242,0.2927991033903054,0.6966618287373004,0.3033381712626995,1.8458952087419445,4,i140_fy23_q4_radp.csv,2023Q2,2023 Q2,3445,0.6966618287373004,0.3033381712626996,0.6724572709442421,0.2927991033903054
2023,2,EB1,First Preference,8273,8016,1461,12825,0.9689350900519764,0.1765985736733953,0.8458372902817347,0.1541627097182652,1.5502236190015715,4,i140_fy23_q4_radp.csv,2023Q2,2023 Q2,9477,0.8458372902817347,0.15416270971826526,0.9689350900519763,0.17659857367339538
2023,2,EB2,Second Preference,22239,22488,2388,21399,1.0111965466073114,0.1073789289086739,0.904003859141341,0.0959961408586589,0.9622285174693106,4,i140_fy23_q4_radp.csv,2023Q2,2023 Q2,24876,0.9040038591413411,0.09599614085865894,1.0111965466073114,0.10737892890867395
2023,2,NIW,National Interest Waiver,8120,9204,1681,16216,1.133497536945813,0.2070197044334975,0.8455672944418925,0.1544327055581074,1.9970443349753693,4,i140_fy23_q4_radp.csv,2023Q2,2023 Q2,10885,0.8455672944418925,0.15443270555810748,1.133497536945813,0.20701970443349754
2023,2,TOTAL,Total,45506,44777,4575,46014,0.9839801344877598,0.1005361930294906,0.9072985897228076,0.0927014102771924,1.0111633630730013,4,i140_fy23_q4_radp.csv,2023Q2,2023 Q2,49352,0.9072985897228076,0.09270141027719242,0.9839801344877599,0.10053619302949061
2023,3,E11,Aliens with Extraordinary Ability,4278,2580,1097,7265,0.6030855539971949,0.2564282374941561,0.7016589611096002,0.2983410388903997,1.698223468910706,4,i140_fy23_q4_radp.csv,2023Q3,2023 Q3,3677,0.7016589611096002,0.29834103889039976,0.603085553997195,0.25642823749415616
2023,3,EB1,First Preference,9692,7650,1396,13596,0.7893107717705323,0.1440363186132893,0.8456776475790404,0.1543223524209595,1.4028064382996286,4,i140_fy23_q4_radp.csv,2023Q3,2023 Q3,9046,0.8456776475790405,0.15432235242095954,0.7893107717705324,0.1440363186132893
2023,3,EB2,Second Preference,24774,19840,2809,24119,0.8008395898926293,0.1133850004036489,0.8759768643207205,0.1240231356792794,0.9735609913619117,4,i140_fy23_q4_radp.csv,2023Q3,2023 Q3,22649,0.8759768643207205,0.12402313567927944,0.8008395898926294,0.11338500040364899
